score,grade,recommendation,id,name,developer,type,capacity_mw,state,poi,queue_position_score,study_progress_score,developer_score,poi_congestion_score,characteristics_score,red_flags,green_flags
64.0,C,CONDITIONAL,0522,NYC Energy,NYC Energy LLC,ES,79.9,NY,NYC Energy LLC,25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0683,KCE NY 2,"KCE NY 2, LLC",ES,200.0,NY,"KCE NY 2, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0744,Magruder BESS,"Mitchell Energy Facility, LLC",ES,20.0,NY,"Mitchell Energy Facility, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0787,"Levy Grid, LLC","Levy Grid, LLC",ES,150.0,NY,"Levy Grid, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0804,KCE NY 10,"KCE NY 10, LLC",ES,20.0,NY,"KCE NY 10, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0815,Bayonne Energy Center III,"Bayonne Energy Center III, LLC",ES,49.8,NY,"Bayonne Energy Center III, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0827,Arthur Kill Energy Storage 1,"Lighthouse Arthur Kill, LLC",ES,15.0,NY,"Lighthouse Arthur Kill, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0907,Harlem River Yard,"Harlem River ESS, LLC",ES,79.9,NY,"Harlem River ESS, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0931,Astoria Energy Storage,"East River ESS, LLC",ES,100.0,NY,"East River ESS, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0956,Holtsville 138kV Energy Storage,"Holtsville Energy Storage, LLC",ES,110.0,NY,"Holtsville Energy Storage, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0967,KCE NY 5,KCE NY 5 LLC,ES,94.0,NY,KCE NY 5 LLC,25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,0971,East Setauket Energy Storage,"East Setauket Energy Storage, LLC",ES,125.0,NY,"East Setauket Energy Storage, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,1122,East Fishkill,"East Fishkill Storage 1, LLC",ES,205.0,NY,"East Fishkill Storage 1, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,1123,KCE NY 29,"KCE NY 29, LLC",ES,79.0,NY,"KCE NY 29, LLC",25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,1255,Holtsville Brookhaven Battery Storage,Holtsville Brookhaven Battery Storage LLC,ES,79.9,NY,Holtsville Brookhaven Battery Storage LLC,25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
64.0,C,CONDITIONAL,1257,Edwards Calverton Battery Storage,Edwards Calverton Battery Storage,ES,60.0,NY,Edwards Calverton Battery Storage,25.0,2.5,10.0,15.0,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.7,C,CONDITIONAL,0834,Luyster Creek Energy Storage 2,"Eastern Generation, LLC",ES,79.0,NY,"Eastern Generation, LLC",25.0,2.5,12.0,12.8,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.7,C,CONDITIONAL,0835,Luyster Creek Energy Storage 1,"Eastern Generation, LLC",ES,56.3,NY,"Eastern Generation, LLC",25.0,2.5,12.0,12.8,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.7,C,CONDITIONAL,1113,CLIES 20 MW,"Caithness LI Energy Storage, LLC",ES,20.0,NY,"Caithness LI Energy Storage, LLC",25.0,2.5,12.0,12.8,11.5,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0276,Homer Solar Energy Center,Homer Solar Energy Center LLC,S,90.0,NY,Homer Solar Energy Center LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0495,Mohawk Solar,Mohawk Solar LLC,S,90.5,NY,Mohawk Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0535,Riverhead Solar 2,"Riverhead Solar 2, LLC",S,36.0,NY,"Riverhead Solar 2, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0545,Sky High Solar,"Sky High Solar, LLC",S,20.0,NY,"Sky High Solar, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0564,Rock District Solar,"Rock District Solar, LLC",S,20.0,NY,"Rock District Solar, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0572,Greene County 1,Hecate Energy Greene 1 LLC,S,20.0,NY,Hecate Energy Greene 1 LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0573,Greene County 2,Hecate Energy Greene 2 LLC,S,10.0,NY,Hecate Energy Greene 2 LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0575,Little Pond Solar,"Little Pond Solar, LLC",S,20.0,NY,"Little Pond Solar, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0581,Hills Solar,SunEast Hills Solar LLC,S,20.0,NY,SunEast Hills Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0584,Dog Corners Solar,SunEast Dog Corners Solar LLC,S,20.0,NY,SunEast Dog Corners Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0586,Watkins Rd Solar,Watkins Road Solar NY LLC,S,20.0,NY,Watkins Road Solar NY LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0590,Scipio Solar,Scipio Solar NY LLC,S,18.0,NY,Scipio Solar NY LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0591,Highview Solar,SunEast Highview Solar LLC,S,20.0,NY,SunEast Highview Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0592,Niagara Solar,Niagara NY Solar LLC,S,20.0,NY,Niagara NY Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0617,Watkins Glen Solar,"Watkins Glen Solar Energy Center, LLC",S,50.0,NY,"Watkins Glen Solar Energy Center, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0620,Gateway Solar Energy Center,"Gateway Solar Energy Center, LLC",S,180.0,NY,"Gateway Solar Energy Center, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0637,Flint Mine Solar,Flint Mine Solar LLC,S,100.0,NY,Flint Mine Solar LLC,25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
63.5,C,CONDITIONAL,0644,Columbia County 1,"Hecate Energy Columbia County 1, LLC",S,60.0,NY,"Hecate Energy Columbia County 1, LLC",25.0,2.5,10.0,15.0,10.9,Early study phase - high uncertainty,Strong queue position; Low POI congestion
